season,week_num,day_of_week,gametime_local,home_team,away_team,home_score,away_score,OT_flag,arrests,division_game,Index_num
2011,1,Sunday,1:15:00 PM,Arizona,Carolina,28,21,0,5.0,0,0
2011,4,Sunday,1:05:00 PM,Arizona,New York Giants,27,31,0,6.0,0,1
2011,7,Sunday,1:05:00 PM,Arizona,Pittsburgh,20,32,0,9.0,0,2
2011,9,Sunday,2:15:00 PM,Arizona,St. Louis,19,13,1,6.0,1,3
2011,13,Sunday,2:15:00 PM,Arizona,Dallas,19,13,1,3.0,0,4
2011,14,Sunday,2:05:00 PM,Arizona,San Francisco,21,19,0,4.0,1,5
2011,15,Sunday,2:15:00 PM,Arizona,Cleveland,20,17,1,1.0,0,6
2011,17,Sunday,2:15:00 PM,Arizona,Seattle,23,20,1,4.0,1,7
2012,1,Sunday,1:25:00 PM,Arizona,Seattle,20,16,0,0.0,1,8
2012,3,Sunday,1:05:00 PM,Arizona,Philadelphia,27,6,0,12.0,0,9
2012,4,Sunday,1:05:00 PM,Arizona,Miami,24,21,1,4.0,0,10
2012,6,Sunday,1:05:00 PM,Arizona,Buffalo,19,16,1,1.0,0,11
2012,8,Monday,5:30:00 PM,Arizona,San Francisco,3,24,0,3.0,1,12
2012,12,Sunday,2:25:00 PM,Arizona,St. Louis,17,31,0,7.0,1,13
2012,15,Sunday,2:05:00 PM,Arizona,Detroit,38,10,0,3.0,0,14
2012,16,Sunday,2:25:00 PM,Arizona,Chicago,13,28,0,7.0,0,15
2013,2,Sunday,1:05:00 PM,Arizona,Detroit,25,21,0,7.0,0,16
2013,5,Sunday,1:05:00 PM,Arizona,Carolina,22,6,0,3.0,0,17
2013,7,Thursday,5:25:00 PM,Arizona,Seattle,22,34,0,7.0,1,18
2013,8,Sunday,1:25:00 PM,Arizona,Atlanta,27,13,0,2.0,0,19
2013,10,Sunday,2:25:00 PM,Arizona,Houston,27,24,0,3.0,0,20
2013,12,Sunday,2:05:00 PM,Arizona,Indianapolis,40,11,0,2.0,0,21
2013,14,Sunday,2:25:00 PM,Arizona,St. Louis,30,10,0,4.0,1,22
2013,17,Sunday,2:25:00 PM,Arizona,San Francisco,20,23,0,7.0,1,23
2014,1,Monday,7:20:00 PM,Arizona,San Diego,18,17,0,4.0,0,24
2014,3,Sunday,1:05:00 PM,Arizona,San Francisco,23,14,0,6.0,1,25
2014,6,Sunday,1:25:00 PM,Arizona,Washington,30,20,0,4.0,0,26
2014,8,Sunday,1:05:00 PM,Arizona,Philadelphia,24,20,0,2.0,0,27
2014,10,Sunday,2:25:00 PM,Arizona,St. Louis,31,14,0,1.0,1,28
2014,11,Sunday,2:25:00 PM,Arizona,Detroit,14,6,0,6.0,0,29
2014,14,Sunday,2:05:00 PM,Arizona,Kansas City,17,14,0,2.0,0,30
2014,16,Sunday,6:30:00 PM,Arizona,Seattle,6,35,0,4.0,1,31
2015,1,Sunday,1:05:00 PM,Arizona,New Orleans,31,19,0,3.0,0,32
2015,3,Sunday,1:05:00 PM,Arizona,San Francisco,47,7,0,10.0,1,33
2015,4,Sunday,1:25:00 PM,Arizona,St. Louis,22,24,0,3.0,1,34
2015,7,Monday,5:30:00 PM,Arizona,Baltimore,26,18,0,2.0,0,35
2015,11,Sunday,6:30:00 PM,Arizona,Cincinnati,34,31,0,2.0,0,36
2015,14,Thursday,6:30:00 PM,Arizona,Minnesota,23,20,0,0.0,0,37
2015,16,Sunday,2:25:00 PM,Arizona,Green Bay,38,8,0,5.0,0,38
2015,17,Sunday,2:25:00 PM,Arizona,Seattle,6,36,0,2.0,1,39
2011,1,Sunday,1:05:00 PM,Baltimore,Pittsburgh,35,7,0,1.0,1,40
