DATE,TEAM,NAME,POS,CASE,CATEGORY,DESCRIPTION,OUTCOME,Found
10/13/2020,Denver,Melvin Gordon,RB,Arrested,DUI,"Suspected of drunk driving, speeding in Denver.",Resolution undetermined.,1
10/3/2020,Pittsburgh,Jarron Jones,OT,Arrested,Domestic violence,"Charged with aggravated assault, strangulation and simple assault in alleged altercation with girlfriend in Pittsburgh.",Resolution undetermined.,1
9/11/2020,Tennessee,Isaiah Wilson,OT,Arrested,DUI,"Pulled over, accused of drunken driving near Nashville with a blood-alcohol content of 0.11.",Resolution undetermined.,1
8/25/2020,Cincinnati,Mackensie Alexander,CB,Arrested,Battery,"Accused of hitting a man in the face in Collier County, Fla., as Alexander searched for information about his missing father.",Resolution undetermined.,1
8/7/2020,Washington,Derrius Guice,RB,Arrested,Domestic violence,"Accused of strangulation, assault and property destruction in Loudoun County, Va.",Resolution undetermined. Team released him same day.,1
7/14/2020,Houston,Kenny Stills,WR,Arrested,Disorderly conduct,Accused of felony intimidation in Louisville after taking part in protest to demand police accountability for the death of Breonna Taylor.,Resolution undetermined.,1
6/27/2020,Arizona,Jermiah Braswell,WR,Arrested,DUI,"Accused of driving while intoxiated after his Camaro ended up in Lake Erie in Put-in-Bay, Ohio.",Resolution undetermined.,1
6/15/2020,New York Giants,Aldrick Rosas,K,Arrested,Hit-and-run,"Accused of fleeing the scene of a collision at an intersection in Chico, Calif.",Resolution undetermined.,1
5/19/2020,Green Bay,Montravius Adams,DE,Arrested,Drugs,"Pulled over near Perry, Ga., accused of marijuana possession, suspended registration.",Resolution undetermined.,1
5/16/2020,New York Giants,Deandre Baker,CB,Surrendered,Armed robbery,"Accused of being involved in armed robbery of cash and jewelry at a party in Miramar, Fla.",Dropped by prosecutors.,1
5/16/2020,Seattle,Quinton Dunbar,CB,Surrendered,Armed robbery,"Accused of being involved in armed robbery of cash and jewelry at a party in Miramar, Fla.",Dropped by prosecutors.,1
5/16/2020,Washington,Cody Latimer,WR,Arrested,Gun,"Accused of felony discharge of a weapon in Englewood, Colo., after deputies responded to report of shots fired.",Resolution undetermined.,1
4/28/2020,Kansas City,Bashaud Breeland,CB,Arrested,Drugs,"Accused of marijuana possession, resisting arrest in Fort Mill, S.C.",Resolution undetermined.,1
3/11/2020,Dallas,Ventell Bryant,WR,Arrested,DUI,"Pulled over in Tampa, accused of driving drunk with blood-alcohol concentration of about 0.10.",Resolution undetermined.,1
